trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.3, 'e': 0.34116606151404244}",20,16,9.476632307121637,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.337754400898902}",20,0,-10.535104579395684,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.3, 'e': 0.334376856889913}",25,8,-23.70736249132244,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.33103308832101386}",25,16,3.212413795440339,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.3277227574378037}",30,15,-25.6051320571337,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.3, 'e': 0.3244455298634257}",30,13,17.09436677659501,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.3212010745647914}",30,1,-15.906690834060202,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.3179890638191435}",25,1,-33.15274763501253,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.3, 'e': 0.31480917318095203}",25,10,-26.171657627245434,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.3116610814491425}",25,0,-3.7345723441778356,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.3, 'e': 0.30854447063465107}",25,20,12.128551547398466,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.3054590259283046}",20,5,6.473370799806254,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.30240443566902153}",30,3,-2.3149550778300796,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.2993803913123313}",20,4,-58.79214271259865,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
120,False,"{'a': 0.3, 'e': 0.296386587399208}",20,13,-39.8789729396145,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.3, 'e': 0.2934227215252159}",20,0,-23.812135357820956,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.3, 'e': 0.29048849430996376}",20,8,4.827730118294804,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.2875836093668641}",35,21,25.048951192099093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.28470777327319546}",20,12,14.339736831830706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.2818606955404635}",25,11,14.8033217292351,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.27904208858505886}",25,12,13.88158113908214,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
